2024-03-21 22:40:16.388 | INFO  | restartedMain | c.z.h.HikariDataSource >>>>> HikariPool-3 - Starting...
2024-03-21 22:40:16.398 | INFO  | restartedMain | c.z.h.HikariDataSource >>>>> HikariPool-3 - Start completed.
2024-03-21 22:40:16.456 | INFO  | restartedMain | o.s.s.w.DefaultSecurityFilterChain >>>>> Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@55b2c6f0, org.springframework.security.web.context.SecurityContextPersistenceFilter@5b8e7847, org.springframework.security.web.header.HeaderWriterFilter@4fbf6718, org.springframework.security.web.csrf.CsrfFilter@45fb9ee6, org.springframework.security.web.authentication.logout.LogoutFilter@a43ca92, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@16db4fab, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@22687dcf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7cdab1d5, org.springframework.security.web.session.SessionManagementFilter@56aadca7, org.springframework.security.web.access.ExceptionTranslationFilter@26fd7ca9, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@728209fd]
2024-03-21 22:40:16.460 | INFO  | restartedMain | o.s.b.d.a.OptionalLiveReloadServer >>>>> LiveReload server is running on port 35729
2024-03-21 22:40:16.464 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Starting ProtocolHandler ["http-nio-8080"]
2024-03-21 22:40:16.465 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat started on port(s): 8080 (http) with context path ''
2024-03-21 22:40:16.467 | INFO  | restartedMain | c.e.b.BackEndApplication >>>>> Started BackEndApplication in 0.254 seconds (JVM running for 1896.122)
2024-03-21 22:40:16.468 | INFO  | restartedMain | o.s.b.a.ApplicationAvailabilityBean >>>>> Application availability state LivenessState changed to CORRECT
2024-03-21 22:40:16.468 | INFO  | restartedMain | o.s.b.d.a.ConditionEvaluationDeltaLoggingListener >>>>> Condition evaluation unchanged
2024-03-21 22:40:16.469 | INFO  | restartedMain | o.s.b.a.ApplicationAvailabilityBean >>>>> Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
2024-03-21 22:40:16.572 | INFO  | http-nio-8080-exec-1 | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-21 22:40:16.572 | INFO  | http-nio-8080-exec-1 | o.s.w.s.DispatcherServlet >>>>> Initializing Servlet 'dispatcherServlet'
2024-03-21 22:40:16.572 | INFO  | http-nio-8080-exec-1 | o.s.w.s.DispatcherServlet >>>>> Completed initialization in 0 ms
2024-03-21 22:40:30.075 | INFO  | Thread-22 | o.s.b.a.ApplicationAvailabilityBean >>>>> Application availability state ReadinessState changed from ACCEPTING_TRAFFIC to REFUSING_TRAFFIC
2024-03-21 22:40:30.128 | INFO  | Thread-22 | c.z.h.HikariDataSource >>>>> HikariPool-3 - Shutdown initiated...
2024-03-21 22:40:30.130 | INFO  | Thread-22 | c.z.h.HikariDataSource >>>>> HikariPool-3 - Shutdown completed.
